sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN02261335	Oscillatoria nigro-viridis	99.974	482564	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria nigro-viridis
SAMN08776300	Kushneria marisflavi	99.975	157779	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Kushneria	Kushneria marisflavi
SAMN00114988	Halobacteroides halobius	99.976	42422	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Halobacteroides	Halobacteroides halobius
SAMN02232041	Muricauda ruestringensis	99.976	111501	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda ruestringensis
SAMN00996448	Pelosinus fermentans	99.976	365349	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Pelosinus	Pelosinus fermentans
SAMN01909281	Pedobacter heparinus	99.977	984	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter heparinus
SAMN02261390	Niabella soli	99.977	446683	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella	Niabella soli
SAMN05444391	Thermocrinis minervae	99.978	381751	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis minervae
SAMN03418623	Rathayibacter toxicus	99.979	145458	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Rathayibacter toxicus
SAMN02440953	Candidatus Cloacimonas acidaminovorans	99.979	456827	Candidatus Cloacimonetes				Candidatus Cloacimonas	Candidatus Cloacimonas acidaminovorans
SAMN02261347	Gloeocapsa sp. PCC 7428	99.98	1173026	Cyanobacteria		Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 7428
SAMN04917385	Orientia tsutsugamushi	99.981	784	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi
SAMN06269301	Geobacter sp. DSM 9736	99.982	1277350	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sp. DSM 9736
